"Timestamp","Category","Name","Message"
"10/17/15 1:24:36 AM","Treasury","Mynameis-Seven","Added 20,000 crowns to the guild treasury."
"10/16/15 9:04:10 AM","Treasury","Purepwn","Added 20,000 crowns to the guild treasury."
"10/16/15 7:44:49 AM","Guild Hall","Purepwn","Changed the MOTD: '""Good tests kill flawed theories; we remain alive to guess again"". -Karl Popper (www.logunners.shivtr.com)'."
"10/15/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"10/14/15 7:44:21 PM","Membership","Professor-Ego","Accepted Purepwn's invitation to join the guild. Welcome!"
"10/13/15 8:45:48 PM","Guild Hall","Purepwn","Changed the MOTD: '""A friend you have to buy won't be worth what you pay for them."" -George D. Prentice(www.logunners.shivtr.com)'."
"10/12/15 12:24:56 AM","Membership","Supereccles","Left the guild. Farewell!"
"10/12/15 12:22:52 AM","Membership","Supereccles","Accepted Purepwn's invitation to join the guild. Welcome!"
"10/11/15 10:16:38 AM","Membership","Bluelightbeam","Left the guild. Farewell!"
"10/10/15 7:35:52 PM","Guild Hall","Purepwn","Changed the MOTD: '""Information is a negotiator's greatest weapon"" - Victor Kiam (www.logunners.shivtr.com)'."
"10/10/15 3:31:48 PM","Treasury","Rhons","Added 20,000 crowns to the guild treasury."
"10/9/15 11:58:27 AM","Membership","Bluelightbeam","Accepted Purepwn's invitation to join the guild. Welcome!"
"10/9/15 11:41:12 AM","Treasury","Purepwn","Added 20,000 crowns to the guild treasury."
"10/9/15 11:39:54 AM","Treasury","Sweetrr","Added 21 crowns to the guild treasury."
"10/9/15 11:39:54 AM","Treasury","Sweetrr","Added Bronze Bolt (16 copies) to the Treasury."
"10/9/15 11:14:02 AM","Treasury","Mynameis-Seven","Added 20,000 crowns to the guild treasury."
"10/9/15 9:10:14 AM","Guild Hall","Purepwn","Changed the MOTD: '""Be yourself; everyone else is already taken."" -Oscar Wilde(www.logunners.shivtr.com)'."
"10/8/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
