"Timestamp","Category","Name","Message"
"5/27/14 6:54:42 PM","Membership","Banjolin","Accepted Dumb-Spiral-Knight's invitation to join the guild. Welcome!"
"5/27/14 1:45:39 PM","Storage","Dumb-Spiral-Knight","Removed Defender from officer storage."
"5/26/14 8:51:35 PM","Membership","Satozen","Accepted Purepwn's invitation to join the guild. Welcome!"
"5/26/14 1:43:09 PM","Treasury","Wilful-Carnage","Added 1,000 crowns to the guild treasury."
"5/26/14 5:50:12 AM","Membership","Darth-Barras","Left the guild. Farewell!"
"5/25/14 1:25:20 AM","Treasury","Asianhawk","Added 2,000 crowns to the guild treasury."
"5/24/14 7:11:21 PM","Membership","Fastdinoturtle","Left the guild. Farewell!"
"5/24/14 5:19:34 PM","Storage","Countcookiedie","Removed Iron Gear from member storage."
"5/24/14 5:19:34 PM","Storage","Countcookiedie","Removed Blue Shard (8 copies) from member storage."
"5/24/14 5:16:43 PM","Storage","Countcookiedie","Added Force Dynamo (2 copies) to member storage."
"5/24/14 5:16:43 PM","Storage","Countcookiedie","Removed Fine Fabric (2 copies) from member storage."
"5/24/14 7:50:03 AM","Treasury","Jleung","Added 1,500 crowns to the guild treasury."
"5/23/14 10:25:04 PM","Storage","Dumb-Spiral-Knight","Removed Horned Owlite Shield from officer storage."
"5/23/14 8:48:14 PM","Treasury","Magmaul-Ace","Added 800 crowns to the guild treasury."
"5/23/14 7:09:41 PM","Storage","Ucktay","Removed Ghost Bell from member storage."
"5/23/14 7:09:06 PM","Membership","Mynameis-Seven","Promoted Genociders to Member."
"5/23/14 7:09:00 PM","Membership","Mynameis-Seven","Promoted Ucktay to Member."
"5/23/14 5:10:16 PM","Membership","Qgzhwkbnm","Left the guild. Farewell!"
"5/23/14 3:25:21 PM","Treasury","Theugly","Added 5,000 crowns to the guild treasury."
"5/22/14 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"5/22/14 11:48:06 AM","Membership","Magmaul-Ace","Accepted Acalodar's invitation to join the guild. Welcome!"
"5/22/14 9:21:11 AM","Membership","Medium-Moose","Removed Shrater from the guild."
"5/22/14 9:21:03 AM","Membership","Medium-Moose","Removed Bufflor from the guild."
"5/22/14 9:20:54 AM","Membership","Medium-Moose","Removed Bi-Oo from the guild."
"5/22/14 9:20:41 AM","Membership","Medium-Moose","Removed Zodeversatile from the guild."
"5/22/14 9:20:24 AM","Membership","Medium-Moose","Removed Theburningspirit from the guild."
"5/22/14 9:20:09 AM","Membership","Medium-Moose","Removed Sona-Sky from the guild."
"5/22/14 9:19:57 AM","Membership","Medium-Moose","Removed Dragon-Commander from the guild."
"5/22/14 9:19:11 AM","Membership","Medium-Moose","Removed Despicable-Minion from the guild."
"5/21/14 8:24:04 PM","Membership","Xaati","Left the guild. Farewell!"
"5/21/14 2:16:46 PM","Storage","Acalodar","Removed Blaster from officer storage."
"5/21/14 2:12:42 PM","Treasury","Darth-Barras","Added 937 crowns to the guild treasury."
"5/21/14 1:16:10 PM","Treasury","Acalodar","Added 515 crowns to the guild treasury."
"5/21/14 1:14:34 PM","Storage","Acalodar","Added Blaster to officer storage."
"5/21/14 1:09:18 PM","Storage","Acalodar","Removed Gremlin Gizmo (2 copies) from veteran storage."
"5/21/14 1:09:18 PM","Storage","Acalodar","Removed Bronze Bolt (3 copies) from veteran storage."
"5/21/14 1:08:01 PM","Storage","Acalodar","Removed Gremlin Gizmo from veteran storage."
"5/21/14 1:08:01 PM","Storage","Acalodar","Removed Bronze Bolt from veteran storage."
"5/21/14 8:58:57 AM","Treasury","Darth-Barras","Added Philoso Feather (3 copies) to the Treasury."
"5/21/14 8:58:57 AM","Treasury","Darth-Barras","Added Dragon Scale to the Treasury."
"5/21/14 8:58:38 AM","Treasury","Darth-Barras","Added 1,000 crowns to the guild treasury."
"5/20/14 2:36:09 PM","Membership","Darth-Barras","Accepted Dumb-Spiral-Knight's invitation to join the guild. Welcome!"
"5/19/14 7:42:43 PM","Storage","Countcookiedie","Removed Fine Fabric from member storage."
"5/19/14 7:42:43 PM","Storage","Countcookiedie","Removed Blue Shard (5 copies) from member storage."
"5/18/14 9:12:09 PM","Treasury","Critskringle","Added 2,000 crowns to the guild treasury."
"5/18/14 2:25:41 PM","Storage","Countcookiedie","Added Brute Core to member storage."
"5/18/14 2:25:41 PM","Storage","Countcookiedie","Added Drake Scale to member storage."
"5/18/14 2:25:14 PM","Storage","Countcookiedie","Removed Gremlin Gizmo from member storage."
"5/18/14 2:25:14 PM","Storage","Countcookiedie","Removed Rocket Sprocket from member storage."
"5/17/14 10:12:27 PM","Membership","Mynameis-Seven","Promoted Sv-Two-Seven to Member."
"5/17/14 10:12:11 PM","Membership","Mynameis-Seven","Promoted Theburningspirit to Member."
"5/17/14 10:12:00 PM","Membership","Mynameis-Seven","Promoted Utila to Member."
"5/17/14 10:11:51 PM","Membership","Mynameis-Seven","Promoted Xaati to Member."
"5/17/14 7:24:56 PM","Storage","Countcookiedie","Added Drake Scale to member storage."
"5/17/14 7:24:37 PM","Storage","Countcookiedie","Removed Fine Fabric from member storage."
