"Timestamp","Category","Name","Message"
"6/30/15 3:08:28 PM","Membership","Haann","Left the guild. Farewell!"
"6/30/15 10:46:49 AM","Treasury","Wilful-Carnage","Added 2,000 crowns to the guild treasury."
"6/29/15 10:29:28 AM","Membership","Purepwn","Promoted Frosthex to Member."
"6/28/15 12:47:03 AM","Membership","Slapthatbat","Accepted Rhons's invitation to join the guild. Welcome!"
"6/26/15 5:33:05 PM","Treasury","Schplasm","Added 10,000 crowns to the guild treasury."
"6/25/15 6:11:46 PM","Treasury","Sahzee","Added 2,000 crowns to the guild treasury."
"6/25/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"6/24/15 4:12:32 PM","Treasury","Final-Knight","Added 5,000 crowns to the guild treasury."
"6/23/15 5:17:46 PM","Membership","Swordhope","Left the guild. Farewell!"
"6/23/15 11:47:23 AM","Treasury","Swordhope","Added Green Shard to the Treasury."
"6/23/15 11:47:23 AM","Treasury","Swordhope","Added Bushy Tail to the Treasury."
"6/23/15 11:41:04 AM","Membership","Swordhope","Accepted Mynameis-Seven's invitation to join the guild. Welcome!"
"6/23/15 6:38:15 AM","Guild Hall","Purepwn","Changed the MOTD: 'July Events will be underway! (SOON) (Visit us at ""www.logunners.shivtr.com)'."
"6/22/15 1:05:21 PM","Membership","Swordhope","Left the guild. Farewell!"
"6/22/15 1:02:07 PM","Treasury","Swordhope","Added Blue Shard (5 copies) to the Treasury."
"6/22/15 1:02:07 PM","Treasury","Swordhope","Added Frost Gel to the Treasury."
"6/22/15 1:02:07 PM","Treasury","Swordhope","Added Sharp Fang (2 copies) to the Treasury."
"6/22/15 1:02:07 PM","Treasury","Swordhope","Added Beast Scale to the Treasury."
"6/22/15 1:02:07 PM","Treasury","Swordhope","Added Critter Carapace to the Treasury."
"6/22/15 8:54:31 AM","Treasury","Frosthex","Added 1,000 crowns to the guild treasury."
"6/22/15 8:53:18 AM","Guild Hall","Purepwn","Changed the MOTD: '""Don't worry about avoiding temptation. As you grow older it will avoid you."" -Joey Adams (Visit us at ""www.logunners.shivtr.com)'."
"6/21/15 6:13:52 PM","Membership","Swordhope","Accepted Mynameis-Seven's invitation to join the guild. Welcome!"
"6/21/15 5:58:35 PM","Membership","Viamus","Accepted Mynameis-Seven's invitation to join the guild. Welcome!"
"6/21/15 6:50:33 AM","Guild Hall","Purepwn","Changed the MOTD: '""Never ignore a gut feeling, but never believe that it's enough."" -Robert Heller (Visit us at ""www.logunners.shivtr.com)'."
"6/21/15 6:30:43 AM","Treasury","Final-Knight","Added 2,500 crowns to the guild treasury."
