"Timestamp","Category","Name","Message"
"9/21/14 12:21:13 PM","Membership","Mark-Seven","Accepted Purepwn's invitation to join the guild. Welcome!"
"9/21/14 12:13:05 PM","Treasury","Whiteflashchen","Added 301 crowns to the guild treasury."
"9/21/14 12:40:13 AM","Membership","Own-Deschng","Accepted Blazgunner's invitation to join the guild. Welcome!"
"9/20/14 11:32:03 PM","Membership","Chaotikk","Accepted Blazgunner's invitation to join the guild. Welcome!"
"9/20/14 11:25:43 PM","Membership","Luna-Lux","Accepted Blazgunner's invitation to join the guild. Welcome!"
"9/19/14 4:29:58 AM","Treasury","Theugly","Added 10,000 crowns to the guild treasury."
"9/18/14 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"9/15/14 10:26:28 PM","Membership","Xaati","Left the guild. Farewell!"
"9/13/14 9:24:39 PM","Treasury","Critskringle","Added 2,000 crowns to the guild treasury."
"9/13/14 10:02:43 AM","Membership","Whiteflashchen","Accepted Medium-Moose's invitation to join the guild. Welcome!"
"9/12/14 10:51:43 PM","Treasury","Wilful-Carnage","Added 2,000 crowns to the guild treasury."
