"Timestamp","Category","Name","Message"
"9/15/14 10:26:28 PM","Membership","Xaati","Left the guild. Farewell!"
"9/13/14 9:24:39 PM","Treasury","Critskringle","Added 2,000 crowns to the guild treasury."
"9/13/14 10:02:43 AM","Membership","Whiteflashchen","Accepted Medium-Moose's invitation to join the guild. Welcome!"
"9/12/14 10:51:43 PM","Treasury","Wilful-Carnage","Added 2,000 crowns to the guild treasury."
"9/11/14 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"9/10/14 11:12:38 AM","Storage","Dumb-Spiral-Knight","Removed Kilowatt Pulsar Recipe from officer storage."
"9/9/14 9:17:56 PM","Membership","Xiiaohungzz","Accepted Purepwn's invitation to join the guild. Welcome!"
"9/9/14 12:43:47 AM","Treasury","Wilful-Carnage","Added 2,000 crowns to the guild treasury."
"9/8/14 11:08:42 AM","Treasury","Sahzee","Added 2,000 crowns to the guild treasury."
"9/7/14 9:15:01 PM","Treasury","Wilful-Carnage","Added 1,000 crowns to the guild treasury."
"9/7/14 7:53:44 PM","Membership","Jleung","Left the guild. Farewell!"
"9/7/14 7:53:18 PM","Treasury","Jleung","Added 6,900 crowns to the guild treasury."
"9/7/14 7:49:52 PM","Membership","Jleung","Removed Sir-Officer from the guild."
"9/7/14 11:38:44 AM","Membership","Medium-Moose","Removed Jake-Of-Altrades from the guild."
"9/7/14 11:38:32 AM","Membership","Medium-Moose","Removed Whiteflashchen from the guild."
